,AC-mean,AC-10_moving_average,AC-se,AC-upper,AC-lower,DTA-mean,DTA-10_moving_average,DTA-se,DTA-upper,DTA-lower,SRS-mean,SRS-10_moving_average,SRS-se,SRS-upper,SRS-lower,NRS-mean,NRS-10_moving,NRS-se,NRS-upper,NRS-lower,SARSA-RS-mean,SARSA-RS-se,SARSA-RS-10_moving,SARSA-RS-upper,SARSA-RS-lower,SPRS-mean,SPRS-se,SPRS-10_moving,SPRS-upper,SPRS-lower
48,4239.3,4292.091,399.8477582,4691.938758,3892.243242,2503.27,2776.184,349.1334352,3125.317435,2427.050565,3068.586,3048.2231,110.9451538,3159.168254,2937.277946,4188.186275,3988.902941,387.9312098,4376.834151,3600.971731,4327.65,415.6449813,4275.909,4691.553981,3860.264019,3830.724,254.208090884802,4068.338,4322.5460908848,3814.1299091152
49,4497.81,4278.764,430.8931277,4709.657128,3847.870872,2457.94,2820.178,330.8080784,3150.986078,2489.369922,2983.056,3048.815,111.1093789,3159.924379,2937.705621,4019.45098,3937.370588,377.6345488,4315.005137,3559.736039,4279.05,398.6054888,4283.591,4682.196489,3884.985511,4387.704,265.20466632685,4061.7788,4326.98346632685,3796.57413367315
50,4811.16,4245.737,414.5289967,4660.265997,3831.208003,2858.56,2871.523,351.5034479,3223.026448,2520.019552,3125.274,3048.5063,114.8791812,3163.385481,2933.627119,3705.421569,3948.016667,386.391258,4334.407925,3561.625409,3760.89,381.8139335,4266.055,4647.868933,3884.241067,4214.916,264.190297997061,4025.2236,4289.41389799706,3761.03330200294
51,3853.37,4204.339,392.6625028,4597.001503,3811.676497,3046.57,2845.911,363.7053451,3209.616345,2482.205655,3094.965,3035.7217,112.8322732,3148.553973,2922.889427,3757.470588,3983.138235,381.2936343,4364.43187,3601.844601,4109.33,411.9634127,4308.497,4720.460413,3896.533587,4012.232,260.449945027262,4008.2548,4268.70474502726,3747.80485497274
52,4378.61,4229.819,410.3297167,4640.148717,3819.489283,2700,2826.05,345.7230834,3171.773083,2480.326917,2980.89,3035.5481,112.8847147,3148.432815,2922.663385,4272.068627,3974.776471,391.0280986,4365.804569,3583.748372,4119.12,417.5858921,4306.034,4723.619892,3888.448108,4047.96,262.816664482297,4009.7796,4272.5962644823,3746.9629355177
53,4300.98,4223.39,413.7688524,4637.158852,3809.621148,3263.68,2854.325,374.5718174,3228.896817,2479.753183,3025.986,3028.063,112.0701708,3140.133171,2915.992829,3894.392157,3910.139216,387.0852086,4297.224424,3523.054007,4267.58,411.3630951,4285.377,4696.740095,3874.013905,4208.096,259.845486139621,4020.476,4280.32148613962,3760.63051386038
54,4344.49,4294.385,415.4025714,4709.787571,3878.982429,2660.41,2791.476,347.1940147,3138.670015,2444.281985,3082.631,3035.0868,113.5861524,3148.672952,2921.500648,4275.382353,3943.983333,388.5441738,4332.527507,3555.43916,4746.14,420.5142312,4271.102,4691.616231,3850.587769,3984.408,257.232936876567,3986.8944,4244.12733687657,3729.66146312343
55,3896.22,4299.274,397.6973848,4696.971385,3901.576615,2511.52,2791.331,347.8594019,3139.190402,2443.471598,3021.847,3034.0635,113.4166843,3147.480184,2920.646816,3967.421569,3914.944118,383.9176038,4298.861721,3531.026514,4078.6,406.3429458,4208.948,4615.290946,3802.605054,3856.8,258.681682258331,3993.4396,4252.12128225833,3734.75791774167
56,4352.78,4346.525,400.2947103,4746.81971,3946.23029,2935.47,2802.66,357.0688761,3159.728876,2445.591124,3097.991,3042.6877,115.0730149,3157.760715,2927.614685,3991.823529,3942.22549,380.4348547,4322.660345,3561.790636,4437.75,410.1613513,4212.891,4623.052351,3802.729649,4306.68,266.247586382299,3974.2656,4240.5131863823,3708.0180136177
57,4246.19,4314.529,417.1300523,4731.659052,3897.398948,2824.42,2753.946,352.8225844,3106.768584,2401.123416,3001.005,3051.5294,113.2958472,3164.825247,2938.233553,3817.411765,3906.586275,403.6238119,4310.210086,3502.962463,4632.98,423.8400467,4173.316,4597.156047,3749.475953,3833.86,252.083391729007,3901.7504,4153.83379172901,3649.66700827099
58,4106.03,4370.563,417.7809003,4788.3439,3952.7821,2943.21,2723.872,360.4299253,3084.301925,2363.442075,3074.505,3050.408,113.0539772,3163.461977,2937.354023,3672.862745,3888.279412,395.8873071,4284.166719,3492.392105,4404.47,414.7402429,4069.71,4484.450243,3654.969757,3765.132,257.56569034385,3903.3568,4160.92249034385,3645.79110965615
59,4167.54,4456.225,399.2187006,4855.443701,4057.006299,2971.39,2732.522,362.1287522,3094.650752,2370.393248,2979.969,3050.278,111.4894708,3161.767471,2938.788529,4125.911765,3900.577451,406.183874,4306.761325,3494.393577,4103.69,397.7078731,4010.79,4408.497873,3613.082127,4022.152,267.113286654902,3934.4652,4201.5784866549,3667.3519133451
60,4397.18,4501.218,429.5511351,4930.769135,4071.666865,2602.44,2671.087,354.970069,3026.057069,2316.116931,2997.428,3054.828,112.5766266,3167.404627,2942.251373,4056.637255,3882.047059,396.6312456,4278.678304,3485.415813,4185.31,411.3735329,3936.728,4348.101533,3525.354467,4045.228,259.32331424703,3931.1192,4190.44251424703,3671.79588575297
61,4108.17,4499.793,399.1710385,4898.964039,4100.621962,2847.96,2670.938,361.2483503,3032.18635,2309.68965,3093.229,3061.1473,114.7062364,3175.853536,2946.441064,3673.852941,3837.435294,384.1658367,4221.601131,3453.269457,4084.7,407.7048102,3861.656,4269.36081,3453.95119,4027.48,264.745608504466,3934.9896,4199.73520850447,3670.24399149553
62,4314.32,4510.584,409.5978166,4920.181817,4100.986183,2982.75,2678.091,373.0131315,3051.104132,2305.077869,2906.039,3056.126,109.7018463,3165.827846,2946.424154,3625.696078,3859.057843,392.3170533,4251.374896,3466.74079,3912.55,394.9425073,3838.658,4233.600507,3443.715493,4154.924,262.215012218782,3931.5064,4193.72141221878,3669.29138778122
63,5010.93,4548.427,426.7440636,4975.171064,4121.682936,2635.19,2679.604,350.6979115,3030.301912,2328.906089,3096.224,3069.4962,114.2745676,3183.770768,2955.221632,4232.833333,3839.597059,407.9538879,4247.550947,3431.643171,4124.83,397.7173177,3808.133,4205.850318,3410.415682,3872.28,262.68118898467,3921.7612,4184.44238898467,3659.08001101533
64,4393.38,4513.57,412.6897641,4926.259764,4100.880236,2658.96,2679.509,354.2582129,3033.767213,2325.250787,3072.398,3071.7975,115.1112762,3186.908776,2956.686224,3984.990196,3818.379412,406.3874913,4224.766903,3411.99192,4124.6,412.7469651,3757.218,4169.964965,3344.471035,4049.86,263.937166525671,3946.9632,4210.90036652567,3683.02603347433
