DDPG-mean,DDPG-mv,Ddpg-se,DDPG-lower,DDPG-upper,DTA-mean,DTA-mv,DTA-se,DTA-lower,DTA-upper,NRS-mean,NRS-mv,NRS-se,NRS-lower,NRS-upper,SRS-mean,SRS-mv,SRS-se,SRS-lower,SRS-upper
0.5,0.556,0.063245553,0.492754447,0.619245553,0.62,0.62,0.059329588,0.560670412,0.679329588,0.38,0.388,0.043817805,0.344182195,0.431817805,0.64,0.643,0.055136195,0.587863805,0.698136195
0.52,0.564,0.059329588,0.504670412,0.623329588,0.62,0.622,0.059329588,0.562670412,0.681329588,0.36,0.39,0.053665631,0.336334369,0.443665631,0.63,0.644,0.054863467,0.589136533,0.698863467
0.56,0.568,0.035777088,0.532222912,0.603777088,0.64,0.626,0.045607017,0.580392983,0.671607017,0.4,0.392,0.04,0.352,0.432,0.62,0.647,0.056213877,0.590786123,0.703213877
0.56,0.57,0.035777088,0.534222912,0.605777088,0.6,0.628,0.074833148,0.553166852,0.702833148,0.36,0.388,0.053665631,0.334334369,0.441665631,0.64,0.651,0.056920998,0.594079002,0.707920998
0.52,0.572,0.033466401,0.538533599,0.605466401,0.62,0.632,0.059329588,0.572670412,0.691329588,0.38,0.388,0.043817805,0.344182195,0.431817805,0.63,0.653,0.054863467,0.598136533,0.707863467
0.58,0.574,0.033466401,0.540533599,0.607466401,0.6,0.632,0.074833148,0.557166852,0.706833148,0.4,0.388,0.04,0.348,0.428,0.65,0.655,0.057008771,0.597991229,0.712008771
0.58,0.574,0.033466401,0.540533599,0.607466401,0.62,0.636,0.059329588,0.576670412,0.695329588,0.4,0.388,0.04,0.348,0.428,0.66,0.653,0.047328638,0.605671362,0.700328638
0.56,0.576,0.035777088,0.540222912,0.611777088,0.62,0.64,0.059329588,0.580670412,0.699329588,0.42,0.39,0.033466401,0.356533599,0.423466401,0.65,0.654,0.057008771,0.596991229,0.711008771
0.6,0.582,0.028284271,0.553715729,0.610284271,0.6,0.644,0.074833148,0.569166852,0.718833148,0.4,0.388,0.04,0.348,0.428,0.66,0.657,0.05138093,0.60561907,0.70838093
0.58,0.584,0.033466401,0.550533599,0.617466401,0.66,0.65,0.035777088,0.614222912,0.685777088,0.38,0.386,0.043817805,0.342182195,0.429817805,0.65,0.658,0.053385391,0.604614609,0.711385391
0.58,0.588,0.043817805,0.544182195,0.631817805,0.64,0.648,0.045607017,0.602392983,0.693607017,0.4,0.388,0.04,0.348,0.428,0.65,0.662,0.051478151,0.610521849,0.713478151
0.56,0.592,0.045607017,0.546392983,0.637607017,0.66,0.648,0.035777088,0.612222912,0.683777088,0.38,0.39,0.043817805,0.346182195,0.433817805,0.66,0.664,0.05329165,0.61070835,0.71729165
0.58,0.598,0.033466401,0.564533599,0.631466401,0.66,0.648,0.035777088,0.612222912,0.683777088,0.36,0.394,0.053665631,0.340334369,0.447665631,0.66,0.664,0.047328638,0.616671362,0.711328638
0.58,0.6,0.033466401,0.566533599,0.633466401,0.64,0.648,0.045607017,0.602392983,0.693607017,0.36,0.396,0.053665631,0.342334369,0.449665631,0.66,0.666,0.055136195,0.610863805,0.721136195
0.54,0.604,0.035777088,0.568222912,0.639777088,0.62,0.65,0.059329588,0.590670412,0.709329588,0.38,0.402,0.052153619,0.349846381,0.454153619,0.65,0.668,0.049497475,0.618502525,0.717497475
0.58,0.614,0.033466401,0.580533599,0.647466401,0.64,0.654,0.045607017,0.608392983,0.699607017,0.4,0.406,0.048989795,0.357010205,0.454989795,0.63,0.672,0.053009433,0.618990567,0.725009433
0.6,0.618,0.048989795,0.569010205,0.666989795,0.66,0.654,0.035777088,0.618222912,0.689777088,0.42,0.41,0.033466401,0.376533599,0.443466401,0.67,0.677,0.051088159,0.625911841,0.728088159
0.62,0.622,0.043817805,0.578182195,0.665817805,0.66,0.652,0.035777088,0.616222912,0.687777088,0.4,0.41,0.028284271,0.381715729,0.438284271,0.68,0.68,0.0464758,0.6335242,0.7264758
0.62,0.624,0.043817805,0.580182195,0.667817805,0.66,0.65,0.035777088,0.614222912,0.685777088,0.38,0.41,0.052153619,0.357846381,0.462153619,0.67,0.681,0.047010637,0.633989363,0.728010637
0.62,0.626,0.052153619,0.573846381,0.678153619,0.64,0.648,0.045607017,0.602392983,0.693607017,0.4,0.416,0.04,0.376,0.456,0.69,0.682,0.047853944,0.634146056,0.729853944
0.62,0.626,0.052153619,0.573846381,0.678153619,0.64,0.646,0.045607017,0.600392983,0.691607017,0.42,0.42,0.033466401,0.386533599,0.453466401,0.67,0.682,0.051088159,0.630911841,0.733088159
0.62,0.628,0.033466401,0.594533599,0.661466401,0.66,0.648,0.035777088,0.612222912,0.683777088,0.42,0.422,0.033466401,0.388533599,0.455466401,0.66,0.687,0.049396356,0.637603644,0.736396356
0.6,0.628,0.028284271,0.599715729,0.656284271,0.66,0.646,0.035777088,0.610222912,0.681777088,0.38,0.422,0.052153619,0.369846381,0.474153619,0.68,0.69,0.0464758,0.6435242,0.7364758
0.62,0.63,0.033466401,0.596533599,0.663466401,0.66,0.644,0.035777088,0.608222912,0.679777088,0.42,0.428,0.033466401,0.394533599,0.461466401,0.68,0.695,0.048579831,0.646420169,0.743579831
0.64,0.632,0.045607017,0.586392983,0.677607017,0.66,0.642,0.035777088,0.606222912,0.677777088,0.42,0.428,0.033466401,0.394533599,0.461466401,0.69,0.698,0.045716518,0.652283482,0.743716518
0.62,0.63,0.043817805,0.586182195,0.673817805,0.64,0.64,0.045607017,0.594392983,0.685607017,0.44,0.428,0.035777088,0.392222912,0.463777088,0.68,0.702,0.054405882,0.647594118,0.756405882
0.64,0.626,0.045607017,0.580392983,0.671607017,0.64,0.642,0.045607017,0.596392983,0.687607017,0.42,0.428,0.033466401,0.394533599,0.461466401,0.7,0.704,0.050990195,0.653009805,0.754990195
0.64,0.622,0.045607017,0.576392983,0.667607017,0.64,0.644,0.045607017,0.598392983,0.689607017,0.4,0.43,0.048989795,0.381010205,0.478989795,0.69,0.706,0.05375872,0.65224128,0.75975872
0.64,0.62,0.045607017,0.574392983,0.665607017,0.64,0.646,0.045607017,0.600392983,0.691607017,0.44,0.428,0.021908902,0.406091098,0.449908902,0.68,0.709,0.052535702,0.656464298,0.761535702
0.62,0.616,0.033466401,0.582533599,0.649466401,0.62,0.646,0.052153619,0.593846381,0.698153619,0.44,0.428,0.021908902,0.406091098,0.449908902,0.69,0.712,0.04347413,0.66852587,0.75547413
0.64,0.618,0.045607017,0.572392983,0.663607017,0.66,0.65,0.035777088,0.614222912,0.685777088,0.44,0.428,0.021908902,0.406091098,0.449908902,0.72,0.716,0.050596443,0.665403557,0.766596443
0.62,0.616,0.033466401,0.582533599,0.649466401,0.64,0.648,0.045607017,0.602392983,0.693607017,0.42,0.424,0.033466401,0.390533599,0.457466401,0.69,0.716,0.0498999,0.6661001,0.7658999
0.62,0.616,0.059329588,0.556670412,0.675329588,0.64,0.65,0.045607017,0.604392983,0.695607017,0.44,0.428,0.035777088,0.392222912,0.463777088,0.73,0.72,0.047010637,0.672989363,0.767010637
0.64,0.618,0.045607017,0.572392983,0.663607017,0.64,0.652,0.045607017,0.606392983,0.697607017,0.42,0.428,0.033466401,0.394533599,0.461466401,0.71,0.72,0.045716518,0.674283482,0.765716518
0.62,0.616,0.033466401,0.582533599,0.649466401,0.64,0.654,0.045607017,0.608392983,0.699607017,0.42,0.432,0.033466401,0.398533599,0.465466401,0.73,0.718,0.047010637,0.670989363,0.765010637
